"","Estimate","Std. Error","z value","Pr(>|z|)"
"FOREIGN_WORKER_INFO_STATEVA:REGIONASIA",-6414050845015.33,1919272610606.58,-3.34191756271048,0.000832017673718451
"FOREIGN_WORKER_INFO_STATEVT:REGIONASIA",-6414561266035.05,1919267570306.67,-3.3421922848465,0.000831194589460966
"FOREIGN_WORKER_INFO_STATEWA:REGIONASIA",-6414050845015.44,1919272610606.58,-3.34191756271055,0.000832017673718257
"FOREIGN_WORKER_INFO_STATEWI:REGIONASIA",-6414050845016.17,1919272610606.58,-3.34191756271093,0.000832017673717119
"FOREIGN_WORKER_INFO_STATEWV:REGIONASIA",-4510013666150870,1919271881353.27,-2349.85658361799,0
"FOREIGN_WORKER_INFO_STATEAR:REGIONCANADA",-6414050845026.15,1919272610606.69,-3.34191756271593,0.000832017673702119
"FOREIGN_WORKER_INFO_STATEAZ:REGIONCANADA",-6414053579266.94,1919273075021.17,-3.34191817868137,0.000832015827386707
"FOREIGN_WORKER_INFO_STATECA:REGIONCANADA",-6414050845014.65,1919272610606.54,-3.3419175627102,0.000832017673719288
"FOREIGN_WORKER_INFO_STATECO:REGIONCANADA",-6414050845013.15,1919272610606.57,-3.34191756270937,0.000832017673721795
"FOREIGN_WORKER_INFO_STATECT:REGIONCANADA",-6414050845013.98,1919272610606.61,-3.34191756270972,0.000832017673720719
"FOREIGN_WORKER_INFO_STATEFL:REGIONCANADA",-6414050845014.99,1919272610606.59,-3.3419175627103,0.000832017673719001
"FOREIGN_WORKER_INFO_STATEGA:REGIONCANADA",-6414050845012.88,1919272610606.49,-3.34191756270937,0.000832017673721792
"FOREIGN_WORKER_INFO_STATEHI:REGIONCANADA",-6414048066908.64,1919272434325.33,-3.34191642217971,0.000832021092393539
"FOREIGN_WORKER_INFO_STATEIL:REGIONCANADA",-4510013679167897,1919272697601.7,-2349.8555910286,0
"FOREIGN_WORKER_INFO_STATEIN:REGIONCANADA",-4510013673985026,1919272372496.79,-2349.85598636942,0
"FOREIGN_WORKER_INFO_STATEMA:REGIONCANADA",-6414050845026.63,1919272610606.61,-3.34191756271632,0.000832017673700957
"FOREIGN_WORKER_INFO_STATEMD:REGIONCANADA",-4510013638709325,1919274169577.65,-2349.85376774063,0
"FOREIGN_WORKER_INFO_STATEME:REGIONCANADA",-4510013710554838,1919273140614.8,-2349.85506498056,0
"FOREIGN_WORKER_INFO_STATEMI:REGIONCANADA",-6414050845013.14,1919272610606.57,-3.34191756270936,0.000832017673721797
"FOREIGN_WORKER_INFO_STATEMS:REGIONCANADA",-4510013676291766,1919272892964.4,-2349.85535033835,0
"FOREIGN_WORKER_INFO_STATENH:REGIONCANADA",-6414051078054.42,1919272635069.83,-3.34191764153458,0.000832017437448238
"FOREIGN_WORKER_INFO_STATENJ:REGIONCANADA",-6414050845014.2,1919272610606.56,-3.34191756270994,0.000832017673720082
"FOREIGN_WORKER_INFO_STATENY:REGIONCANADA",-6414050846961.59,1919272611182.68,-3.34191756272142,0.000832017673685673
"FOREIGN_WORKER_INFO_STATEOH:REGIONCANADA",-6414050845027.85,1919272610606.69,-3.34191756271681,0.000832017673699468
"FOREIGN_WORKER_INFO_STATEOR:REGIONCANADA",-4510013676583690,1919273074710.28,-2349.85512797051,0
"FOREIGN_WORKER_INFO_STATEPA:REGIONCANADA",-4510013678307028,1919272601892.9,-2349.85570776084,0
"FOREIGN_WORKER_INFO_STATETN:REGIONCANADA",-4510013678341301,1919272670367.44,-2349.8556239421,0
"FOREIGN_WORKER_INFO_STATETX:REGIONCANADA",-6414050845014.31,1919272610606.54,-3.34191756271002,0.000832017673719847
"FOREIGN_WORKER_INFO_STATEUT:REGIONCANADA",-6414050845018.88,1919272610606.58,-3.34191756271234,0.000832017673712893
"FOREIGN_WORKER_INFO_STATEVA:REGIONCANADA",-6414050845013.1,1919272610606.57,-3.34191756270933,0.000832017673721895
"FOREIGN_WORKER_INFO_STATEWA:REGIONCANADA",-6414050887639.71,1919272607531.58,-3.34191759027342,0.00083201759110031
"FOREIGN_WORKER_INFO_STATEWI:REGIONCANADA",-4510013677231588,1919272509069.61,-2349.85582084842,0
"FOREIGN_WORKER_INFO_STATEAL:REGIONEUROPE",-6414050845022.21,1919272610606.8,-3.34191756271369,0.000832017673708846
"FOREIGN_WORKER_INFO_STATEAZ:REGIONEUROPE",-6414050845039.47,1919272610606.6,-3.34191756272302,0.000832017673680865
"FOREIGN_WORKER_INFO_STATECA:REGIONEUROPE",-6414050845015.41,1919272610606.63,-3.34191756271045,0.000832017673718553
"FOREIGN_WORKER_INFO_STATECO:REGIONEUROPE",-4510013690324790,1919272249854.91,-2349.85614503922,0
"FOREIGN_WORKER_INFO_STATECT:REGIONEUROPE",-6414050845014.71,1919272610606.62,-3.34191756271009,0.00083201767371963
"FOREIGN_WORKER_INFO_STATEDC:REGIONEUROPE",-6414050845026.72,1919272610606.49,-3.34191756271657,0.000832017673700207
"FOREIGN_WORKER_INFO_STATEFL:REGIONEUROPE",-6414050845014.8,1919272610606.6,-3.34191756271018,0.000832017673719348
"FOREIGN_WORKER_INFO_STATEGA:REGIONEUROPE",-4510013677473428,1919272488813.93,-2349.85584577441,0
"FOREIGN_WORKER_INFO_STATEID:REGIONEUROPE",-6414050845031.55,1919272610606.39,-3.34191756271926,0.000832017673692135
"FOREIGN_WORKER_INFO_STATEIL:REGIONEUROPE",-6414050845013.75,1919272610606.6,-3.34191756270963,0.000832017673720998
"FOREIGN_WORKER_INFO_STATEIN:REGIONEUROPE",-6414050845013.11,1919272610606.56,-3.34191756270936,0.000832017673721797
"FOREIGN_WORKER_INFO_STATEKY:REGIONEUROPE",-6414050845013.31,1919272610606.62,-3.34191756270937,0.000832017673721795
"FOREIGN_WORKER_INFO_STATELA:REGIONEUROPE",-4510013677841717,1919272616476.51,-2349.855689663,0
"FOREIGN_WORKER_INFO_STATEMA:REGIONEUROPE",-6414050845015.13,1919272610606.58,-3.34191756271038,0.00083201767371876
"FOREIGN_WORKER_INFO_STATEMD:REGIONEUROPE",-6414050845027.27,1919272610606.07,-3.34191756271758,0.000832017673697158
"FOREIGN_WORKER_INFO_STATEMI:REGIONEUROPE",-6414050845014.16,1919272610606.6,-3.34191756270984,0.000832017673720369
"FOREIGN_WORKER_INFO_STATEMN:REGIONEUROPE",-4510013678197958,1919272607666.39,-2349.85570063526,0
"FOREIGN_WORKER_INFO_STATEMS:REGIONEUROPE",-6414050845038.69,1919272610607.69,-3.34191756272072,0.000832017673687767
"FOREIGN_WORKER_INFO_STATENC:REGIONEUROPE",-4510013665894016,1919273024502.94,-2349.85518387204,0
